SL_pAcc_aR,SL_pAcc_aNR,SF_pAcc_aR,SF_pAcc_aNR
0.8099173553719008,0.7335140018066847,0.8071705426356589,0.7513997760358343
0.8198019801980198,0.7514792899408284,0.7828282828282829,0.7657200811359026
0.79979035639413,0.7750424448217318,0.7925430210325047,0.7262773722627737
0.8163693599160545,0.7409326424870466,0.7984718242597899,0.7816425120772947
0.796828543111992,0.6982608695652174,0.8012108980827447,0.788235294117647
0.8154158215010142,0.7470703125,0.8353057199211046,0.8186475409836066
0.7968911917098446,0.7271922054915855,0.8405797101449275,0.801377726750861
0.827,0.7937384898710865,0.823,0.8052516411378556
0.8063492063492064,0.7654690618762475,0.8303317535545024,0.7464929859719439
0.8175473579262214,0.7082953509571559,0.8184553660982948,0.7751937984496124
0.7859327217125383,0.7454710144927537,0.8066732090284593,0.7555803571428571
0.7949790794979079,0.7433537832310838,0.8065134099616859,0.7818003913894325
0.820281124497992,0.7295081967213115,0.8207171314741036,0.7638580931263859
0.8035892323030908,0.7227227227227228,0.8164493480441324,0.7942057942057942
0.8211382113821138,0.7071428571428572,0.8218503937007874,0.796078431372549
0.8355601233299075,0.7156775907883083,0.824732229795521,0.8151549942594719
0.8060021436227224,0.7325692454632283,0.8256794751640113,0.8027282266526757
0.8250254323499492,0.767,0.839724680432645,0.782
0.8181818181818182,0.7577519379844961,0.8327137546468402,0.7923553719008265
0.8098818474758325,0.7646511627906977,0.8241347053320861,0.7978378378378378
0.8336776859504132,0.7668711656441718,0.814922480620155,0.8082191780821918
0.8200620475698035,0.7806624888093107,0.8305905130687319,0.7780294450736127
0.8196891191709844,0.744136460554371,0.8202898550724638,0.7627118644067796
0.8109756097560976,0.7395048439181916,0.8405511811023622,0.8011204481792717
0.7914937759336099,0.7486818980667839,0.8223938223938224,0.771461716937355
0.8149253731343283,0.750465549348231,0.8502512562814071,0.8120950323974082
0.8008130081300813,0.7142857142857143,0.8257874015748031,0.8132875143184422
0.8387755102040816,0.7930728241563055,0.8284313725490197,0.7757437070938215
0.8035714285714286,0.7733463035019456,0.7993951612903226,0.8302469135802469
0.8351983723296033,0.7359187442289935,0.8259587020648967,0.7851690294438386
0.8164556962025317,0.7497326203208556,0.8241444866920152,0.7934272300469484
0.8194308145240432,0.7699570815450644,0.8032619775739042,0.7868263473053893
0.8239299610894941,0.7678916827852998,0.8055555555555556,0.7763975155279503
0.8431578947368421,0.7847358121330724,0.8076190476190476,0.7965235173824131
0.8134556574923547,0.7295004712535345,0.8410206084396468,0.8125665601703941
0.8207253886010363,0.7627599243856332,0.8367149758454107,0.7738853503184714
0.833852544132918,0.741,0.8312439729990356,0.779
0.8241650294695482,0.7640117994100295,0.8370672097759674,0.7985757884028484
0.8082329317269076,0.7607476635514019,0.8326693227091634,0.7946236559139785
0.8175473579262214,0.8026449643947101,0.839518555667001,0.7708947885939036
0.8087649402390438,0.7797443461160275,0.8323293172690763,0.7700915564598169
0.834685598377282,0.7651821862348178,0.8313609467455622,0.7885375494071146
0.8461538461538461,0.7935103244837758,0.8198458574181118,0.7873855544252288
0.8228511530398323,0.7743490838958534,0.8126195028680688,0.7985462097611631
0.8304392236976507,0.8220603537981269,0.8188050930460333,0.8142444658325313
0.8220338983050848,0.7913125590179415,0.8172348484848485,0.7492029755579172
0.8063829787234043,0.777137367915466,0.8518867924528302,0.8248175182481752
0.802,0.7822990844354019,0.851,0.7817109144542773
0.8073022312373225,0.7465051258154707,0.8431952662721893,0.8263214670981661
